phrase	scoring_form	surface_forms	sources	types	pos	idiom_strength	idiom_r1	idiom_source_ids	source_rows	flelex_match	lexical_score	frequency_total	flelex_rarity_score	rarity_score	cefr_proxy_score	semantic_opacity	structural_complexity	register_score	construction_fixedness	idiom_strength_score	confidence_idiom_score	type_score	length_score	confidence_score	difficulty_score
assez pour	assez pour	assez pour	dela	prepositional_phrase	prep				1	tokens	0.3463	250.4667	0.0000	0.3500	0.2850	0.1500	0.2000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.2355	0.2858
d'avis à	d'avis au	d'avis au	dela	prepositional_phrase	prep				1	tokens	0.3468	17414.9317	0.0000	0.3500	0.2850	0.1500	0.2000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.2358	0.2858
d'humeur à	d'humeur au	d'humeur au	dela	prepositional_phrase	prep				1	tokens	0.3468	17414.9317	0.0000	0.3500	0.2850	0.1500	0.2000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.2358	0.2858
d'opinion à	d'opinion à	d'opinion à	dela	prepositional_phrase	prep				1	tokens	0.3468	17414.9317	0.0000	0.3500	0.2850	0.1500	0.2000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.2358	0.2858
d'âge à	d'âge au	d'âge au|d'âge à	dela	prepositional_phrase	prep				2	tokens	0.3468	17414.9317	0.0000	0.3500	0.2850	0.1500	0.2000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.2358	0.2858
d'équerre avec	d'équerre avec	d'équerre avec	dela	prepositional_phrase	prep				1	tokens	0.3093	4137.3987	0.0000	0.3500	0.2850	0.1500	0.2000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.2151	0.2858
au lieu	au lieu d'	au lieu d'|au lieu de	dela	prepositional_phrase	prep				2	tokens	0.3737	295.9049	0.0000	0.3500	0.2850	0.1500	0.4000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.2505	0.2898
avec l'idée	avec l'idée de	avec l'idée de	dela	prepositional_phrase	prep				1	tokens	0.3093	4137.3987	0.0000	0.3500	0.2850	0.1500	0.4000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.2151	0.2898
bien loin	bien loin des	bien loin d'|bien loin de|bien loin des	dela	prepositional_phrase	prep				3	tokens	0.2863	201.0241	0.0000	0.3500	0.2850	0.1500	0.4000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.2024	0.2898
dans l'espoir	dans l'espoir de	dans l'espoir de	dela	prepositional_phrase	prep				1	tokens	0.3464	8871.9364	0.0000	0.3500	0.2850	0.1500	0.4000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.2355	0.2898
de façon	de façon à	de façon à	dela	prepositional_phrase	prep				1	tokens	0.4706	188.9349	0.0000	0.3500	0.2850	0.1500	0.4000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.3038	0.2898
adresse électronique	adresses électroniques	adresse électronique|adresses électroniques	dela|idiom	idiom|nominal_phrase	locution nominale|noun	weak idiom	True	ls:fr:node:47461	3	tokens	0.4885	34.5475	0.2094	0.2094	0.3658	0.3500	0.2000	0.3000	0.5500	0.3000	0.3500	0.7500	0.2000	0.4512	0.2937
animal domestique	animaux domestiques	animal domestique|animaux domestiques	dela|idiom	idiom|nominal_phrase	locution nominale|noun	weak idiom	True	ls:fr:node:46596	4	tokens	0.5163	31.1702	0.2107	0.2107	0.3662	0.3500	0.2000	0.3000	0.5500	0.3000	0.3500	0.7500	0.2000	0.4664	0.2944
avoir besoin	avoir besoin	avoir besoin	idiom	verbal_phrase	locution verbale	weak idiom	True	ls:fr:node:43994	2	exact	0.2543	16.5934	0.3787	0.3787	0.2632	0.1500	0.2000	0.3000	0.3000	0.3000	0.3500	0.5000	0.2000	0.2974	0.3017
antérieurement à	antérieurement au	antérieurement au|antérieurement à	dela	fixed_expression|prepositional_phrase	adverb|prep				3	tokens	0.3468	17414.9317	0.0000	0.3500	0.2850	0.3000	0.2000	0.3000	0.3500	0.0000	0.0000	0.4500	0.2000	0.2558	0.3133
avis à	avis à	avis à	dela	fixed_expression|prepositional_phrase	adverb|prep				2	tokens	0.3568	97.0617	0.0054	0.3500	0.2850	0.3000	0.2000	0.3000	0.3500	0.0000	0.0000	0.4500	0.2000	0.2612	0.3133
de devant	de devant	de devant	dela	fixed_expression|prepositional_phrase	adj|prep				2	tokens	0.3771	605.9094	0.0000	0.3500	0.2850	0.3000	0.2000	0.3000	0.3500	0.0000	0.0000	0.4500	0.2000	0.2724	0.3133
au moment	au moment où	au moment de|au moment du|au moment où|à ce moment-là	dela	fixed_expression|prepositional_phrase	adverb|conjs|prep				4	tokens	0.3376	415.9782	0.0000	0.3500	0.2850	0.3000	0.8000	0.3000	0.3500	0.0000	0.0000	0.4500	0.2000	0.2507	0.3253
cette année	cette année que	cette année de|cette année des|cette année que|cette année-là	dela	fixed_expression|prepositional_phrase	adverb|conjs|prep				4	tokens	0.4011	893.8022	0.0000	0.3500	0.2850	0.3000	0.8000	0.3000	0.3500	0.0000	0.0000	0.4500	0.2000	0.2856	0.3253
du moment	du moment que	de ce moment-là|du moment de|du moment où|du moment que	dela	fixed_expression|prepositional_phrase	adverb|conjs|prep				4	tokens	0.3789	415.9782	0.0000	0.3500	0.2850	0.3000	0.8000	0.3000	0.3500	0.0000	0.0000	0.4500	0.2000	0.2734	0.3253
du temps	du temps que	du temps de|du temps des|du temps du|du temps où|du temps que	dela	fixed_expression|prepositional_phrase	conjs|prep				5	tokens	0.3829	848.9697	0.0000	0.3500	0.2850	0.3000	0.8000	0.3000	0.3500	0.0000	0.0000	0.4500	0.2000	0.2756	0.3253
ancien régime	ancien régime	ancien régime	dela|idiom	idiom|nominal_phrase	locution nominale|noun	weak idiom	True	ls:fr:node:54457	5	tokens	0.6635	19.3880	0.2947	0.2947	0.3957	0.3500	0.2000	0.3000	0.5500	0.3000	0.3500	0.7500	0.2000	0.5474	0.3395
de peur	de peur des	de peur|de peur de|de peur des	dela	fixed_expression|prepositional_phrase	PCDN3|adverb|prep				4	tokens	0.3686	321.7793	0.0000	0.3500	0.2850	0.4500	0.4000	0.3000	0.4500	0.0000	0.0000	0.4500	0.2000	0.2677	0.3448
acte médical	actes médicaux	acte médical|actes médicaux	dela|idiom	idiom|nominal_phrase	locution nominale|noun	weak idiom	True	ls:fr:node:54151	4	tokens	0.6648	27.0668	0.2499	0.2499	0.3800	0.3500	0.2000	0.9000	0.5500	0.3000	0.3500	0.7500	0.2000	0.5481	0.3514
acte criminel	acte criminel	acte criminel	dela|idiom	idiom|nominal_phrase	locution nominale|noun	weak idiom	True	ls:fr:node:32982	3	tokens	0.5174	23.9088	0.2719	0.2719	0.3877	0.3500	0.2000	0.9000	0.5500	0.3000	0.3500	0.7500	0.2000	0.4670	0.3633
au nombre	au nombre	au nombre	idiom	prepositional_phrase	locution prépositionnelle	semi-idiom	True	ls:fr:node:38672	4	tokens	0.4754	151.5736	0.0000	0.3500	0.2850	0.6000	0.2000	0.3000	0.2500	0.6000	0.6000	0.2500	0.2000	0.4564	0.3653
au propre	au propre	au propre	idiom	prepositional_phrase	locution prépositionnelle	semi-idiom	True	ls:fr:node:38690	2	tokens	0.4641	179.1192	0.0000	0.3500	0.2850	0.6000	0.2000	0.3000	0.2500	0.6000	0.6000	0.2500	0.2000	0.4503	0.3653
de dessus	de dessus	de dessus	dela	prepositional_phrase	prep				1	tokens	0.4428	8.9171	0.4274	0.4274	0.4709	0.1500	0.2000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.2886	0.3671
armée mexicaine	armée mexicaine	armée mexicaine	idiom	idiom	locution nominale	strong idiom	False	ls:fr:node:53125	6	tokens	0.4395	41.2359	0.1889	0.1889	0.3586	0.9500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.2000	0.5617	0.3847
crainte de	crainte des	crainte d'|crainte de|crainte des|crainte du	dela	prepositional_phrase	prep				4	tokens	0.6487	8.4788	0.4358	0.4358	0.5849	0.1500	0.2000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.4018	0.3993
au bord	au bord	au bord	idiom	prepositional_phrase	locution prépositionnelle	strong idiom	True	ls:fr:node:40694|ls:fr:node:45027	6	tokens	0.3264	115.1727	0.0000	0.3500	0.2850	0.9500	0.2000	0.3000	0.2500	0.9000	0.9000	0.2500	0.2000	0.4495	0.4238
ascenseur social	ascenseur social	ascenseur social	idiom	idiom	locution nominale	semi-idiom	True	ls:fr:node:48924	4	tokens	0.5095	11.9338	0.3785	0.3785	0.4250	0.6000	0.2000	0.3000	0.5500	0.6000	0.6000	0.7500	0.2000	0.5252	0.4281
de crainte	de crainte de	de crainte|de crainte de	dela	fixed_expression|prepositional_phrase	PCDN3|adverb|prep				3	tokens	0.6487	8.4788	0.4358	0.4358	0.5849	0.3000	0.4000	0.3000	0.3500	0.0000	0.0000	0.4500	0.2000	0.4218	0.4308
au carré	au carré	au carré	idiom	prepositional_phrase	locution prépositionnelle	semi-idiom	True	ls:fr:node:40251	4	tokens	0.5683	9.6829	0.4137	0.4137	0.5174	0.6000	0.2000	0.3000	0.2500	0.6000	0.6000	0.2500	0.2000	0.5076	0.4520
différemment de	différemment des	différemment de|différemment des	dela	prepositional_phrase	prep				2	tokens	0.7538	3.3990	0.5772	0.5772	0.6687	0.1500	0.2000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.4596	0.4839
armoire forte	armoire forte	armoire forte	idiom	idiom	locution nominale	semi-idiom	True	ls:fr:node:46648	2	tokens	0.4799	8.5289	0.5115	0.5115	0.4822	0.6000	0.2000	0.3000	0.5500	0.6000	0.6000	0.7500	0.2000	0.5090	0.5022
ange gardien	anges gardiens	ange gardien|anges gardiens	dela|idiom	idiom|nominal_phrase	locution nominale|noun	strong idiom	True	ls:fr:node:52849|ls:fr:node:52850	6	tokens	0.4033	10.9585	0.4535	0.4535	0.4066	0.9500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.2000	0.5418	0.5157
appareil photographique	appareil photographique	appareil photographique	dela|idiom	idiom|nominal_phrase	locution nominale|noun	weak idiom	True	ls:fr:node:36615	3	tokens	0.7034	1.4970	0.6894	0.6894	0.6265	0.3500	0.2000	0.3000	0.5500	0.3000	0.3500	0.7500	0.2000	0.5694	0.5748
dans l'intention	dans l'intention de	dans l'intention de	dela	prepositional_phrase	prep				1	tokens	0.3464	8871.9364	0.0000	0.7500	0.7500	0.1500	0.4000	0.7000	0.2500	0.0000	0.0000	0.2500	0.2000	0.2355	0.6100
dès lors	dès lors que	dès lors|dès lors de|dès lors que	dela	fixed_expression|prepositional_phrase	adverb|conjs|prep				3	exact	0.8069	2.8364	0.7087	0.7087	0.7998	0.3000	0.8000	0.3000	0.3500	0.0000	0.0000	0.4500	0.2000	0.5088	0.6154
en public	en public	en public	dela	fixed_expression	adj|adverb				2	exact	0.5419	0.7979	0.8729	0.8729	0.6955	0.1500	0.2000	0.3000	0.3500	0.0000	0.0000	0.4500	0.2000	0.3630	0.6287
10 000 mètres	10 000 mètres	10 000 mètres	idiom	idiom	locution nominale	weak idiom	True	ls:fr:node:45641	3	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.3500	0.2000	0.3000	0.5500	0.3000	0.3500	0.7500	0.0000	0.5750	0.6330
10 kilomètres	10 kilomètres	10 kilomètres	idiom	idiom	locution nominale	weak idiom	True	ls:fr:node:45643	2	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.3500	0.2000	0.3000	0.5500	0.3000	0.3500	0.7500	0.0000	0.5750	0.6330
100 mètres	100 mètres	100 mètres	idiom	idiom	locution nominale	weak idiom	True	ls:fr:node:45634	5	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.3500	0.2000	0.3000	0.5500	0.3000	0.3500	0.7500	0.0000	0.5750	0.6330
1500 mètres	1500 mètres	1500 mètres	idiom	idiom	locution nominale	weak idiom	False	ls:fr:node:45640	2	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.3500	0.2000	0.3000	0.5500	0.3000	0.3500	0.7500	0.0000	0.5750	0.6330
200 mètres	200 mètres	200 mètres	idiom	idiom	locution nominale	weak idiom	True	ls:fr:node:45637	2	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.3500	0.2000	0.3000	0.5500	0.3000	0.3500	0.7500	0.0000	0.5750	0.6330
33 tours	33 tours	33 tours	idiom	idiom	locution nominale	weak idiom	True	ls:fr:node:45489	2	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.3500	0.2000	0.3000	0.5500	0.3000	0.3500	0.7500	0.0000	0.5750	0.6330
400 mètres	400 mètres	400 mètres	idiom	idiom	locution nominale	weak idiom	True	ls:fr:node:45638	4	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.3500	0.2000	0.3000	0.5500	0.3000	0.3500	0.7500	0.0000	0.5750	0.6330
45 tours	45 tours	45 tours	idiom	idiom	locution nominale	weak idiom	True	ls:fr:node:45490	2	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.3500	0.2000	0.3000	0.5500	0.3000	0.3500	0.7500	0.0000	0.5750	0.6330
50 mètres	50 mètres	50 mètres	idiom	idiom	locution nominale	weak idiom	False	ls:fr:node:48510	2	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.3500	0.2000	0.3000	0.5500	0.3000	0.3500	0.7500	0.0000	0.5750	0.6330
5000 mètres	5000 mètres	5000 mètres	idiom	idiom	locution nominale	weak idiom	True	ls:fr:node:45642	4	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.3500	0.2000	0.3000	0.5500	0.3000	0.3500	0.7500	0.0000	0.5750	0.6330
au bec	au bec	au bec	idiom	prepositional_phrase	locution prépositionnelle	semi-idiom	True	ls:fr:node:40168	2	tokens	0.7578	0.4568	0.7807	0.7807	0.6892	0.6000	0.2000	0.3000	0.2500	0.6000	0.6000	0.2500	0.2000	0.6118	0.6601
d'avance	d'avance	d'avance	idiom	prepositional_phrase	locution prépositionnelle	semi-idiom	False	ls:fr:node:47519	2	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.6000	0.2000	0.3000	0.2500	0.6000	0.6000	0.2500	0.0000	0.5875	0.6615
belle-d'un-jour	belle-d'un-jour	belle-d'un-jour	idiom	idiom	locution nominale	semi-idiom	False	ls:fr:node:56182	4	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.6000	0.2000	0.3000	0.5500	0.6000	0.6000	0.7500	0.0000	0.6375	0.6765
belle-de-jour	belle-de-jour	belle-de-jour	idiom	idiom	locution nominale	semi-idiom	False	ls:fr:node:56058	6	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.6000	0.2000	0.3000	0.5500	0.6000	0.6000	0.7500	0.0000	0.6375	0.6765
belle-de-nuit	belle-de-nuit	belle-de-nuit	idiom	idiom	locution nominale	semi-idiom	False	ls:fr:node:56061	3	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.6000	0.2000	0.3000	0.5500	0.6000	0.6000	0.7500	0.0000	0.6375	0.6765
gorge-de-pigeon	gorge-de-pigeon	gorge-de-pigeon	idiom	idiom	locution nominale	semi-idiom	False	ls:fr:node:43215	3	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.6000	0.2000	0.3000	0.5500	0.6000	0.6000	0.7500	0.0000	0.6375	0.6765
de dessous	de dessous	de dessous	dela	prepositional_phrase	prep				1	exact	0.7156	0.0698	0.9854	0.9854	0.7349	0.1500	0.2000	0.3000	0.2500	0.0000	0.0000	0.2500	0.2000	0.4386	0.6841
dans l'hypothèse	dans l'hypothèse où	dans l'hypothèse de|dans l'hypothèse où	dela	fixed_expression|prepositional_phrase	conjs|prep				2	tokens	0.3464	8871.9364	0.0000	0.7500	0.7500	0.6500	0.8000	0.7000	0.3500	0.0000	0.0000	0.4500	0.2000	0.2555	0.6980
de manière	de manière à ce que	de manière que|de manière à|de manière à ce que	dela	fixed_expression|prepositional_phrase	conjs|prep				3	tokens	0.4617	106.0442	0.0000	0.7500	0.7500	0.6500	0.8000	0.7000	0.3500	0.0000	0.0000	0.4500	0.2000	0.3189	0.6980
moyen-orient	moyen-orient	moyen-orient	idiom	idiom	locution nominale	semi-idiom	True	ls:fr:node:43142	2	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.6000	0.2000	0.7000	0.5500	0.6000	0.6000	0.7500	0.0000	0.6375	0.7005
de peur de	de peur des	de peur d'|de peur de|de peur des|de peur du	dela	prepositional_phrase	prep				4	exact	0.6804	0.5036	0.9116	0.9116	0.7091	0.4500	0.4000	0.3000	0.4500	0.0000	0.0000	0.2500	0.4000	0.4392	0.7035
de derrière	de derrière	de derrière	dela	fixed_expression|prepositional_phrase	adj|adverb|prep				3	exact	0.5760	0.0634	0.9867	0.9867	0.7353	0.3000	0.2000	0.3000	0.3500	0.0000	0.0000	0.4500	0.2000	0.3818	0.7123
bouton-d'or	bouton-d'or	bouton-d'or	idiom	idiom	locution nominale	strong idiom	True	ls:fr:node:56080	18	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.8500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.0000	0.7125	0.7200
d'acier	d'acier	d'acier	idiom	prepositional_phrase	locution prépositionnelle	strong idiom	False	ls:fr:node:41525	4	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.2500	0.9000	0.9000	0.2500	0.0000	0.6625	0.7200
d'actualité	d'actualité	d'actualité	idiom	prepositional_phrase	locution prépositionnelle	strong idiom	False	ls:fr:node:54332	2	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.2500	0.9000	0.9000	0.2500	0.0000	0.6625	0.7200
d'ailleurs	d'ailleurs	d'ailleurs	idiom	prepositional_phrase	locution prépositionnelle	strong idiom	False	ls:fr:node:48194	2	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.2500	0.9000	0.9000	0.2500	0.0000	0.6625	0.7200
d'amour	d'amour	d'amour	idiom	prepositional_phrase	locution prépositionnelle	strong idiom	False|True	ls:fr:node:53136|ls:fr:node:53137	12	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.2500	0.9000	0.9000	0.2500	0.0000	0.6625	0.7200
d'ange	d'ange	d'ange	idiom	prepositional_phrase	locution prépositionnelle	strong idiom	False	ls:fr:node:38901	4	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.2500	0.9000	0.9000	0.2500	0.0000	0.6625	0.7200
d'enfer	d'enfer	d'enfer	idiom	prepositional_phrase	locution prépositionnelle	strong idiom	False	ls:fr:node:42691	4	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.2500	0.9000	0.9000	0.2500	0.0000	0.6625	0.7200
d'élite	d'élite	d'élite	idiom	prepositional_phrase	locution prépositionnelle	strong idiom	False	ls:fr:node:39742	6	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.2500	0.9000	0.9000	0.2500	0.0000	0.6625	0.7200
d'éléphant	d'éléphant	d'éléphant	idiom	prepositional_phrase	locution prépositionnelle	strong idiom	False	ls:fr:node:47385	2	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.2500	0.9000	0.9000	0.2500	0.0000	0.6625	0.7200
du fait	du fait que	de ce fait|du fait de|du fait des|du fait du|du fait que	dela	fixed_expression|prepositional_phrase	adverb|conjs|prep				5	exact	0.5783	0.0268	0.9943	0.9943	0.7380	0.3000	0.8000	0.3000	0.3500	0.0000	0.0000	0.4500	0.2000	0.3831	0.7284
a priori	a priori	a priori	dela	fixed_expression|nominal_phrase	adverb|noun				2	exact	0.8504	3.2231	0.6879	0.7500	0.8000	0.8500	0.2000	0.7000	0.3500	0.0000	0.0000	0.4500	0.2000	0.5327	0.7285
boule-de-neige	boule-de-neige	boule-de-neige	idiom	idiom	locution nominale	strong idiom	True	ls:fr:node:56075	9	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.0000	0.7125	0.7350
cheveu-de-la-vierge	cheveu-de-la-vierge	cheveu-de-la-vierge	idiom	idiom	locution nominale	strong idiom	True	ls:fr:node:56099	4	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.0000	0.7125	0.7350
dessous-de-table	dessous-de-table	dessous-de-table	idiom	idiom	locution nominale	strong idiom	True	ls:fr:node:43410	3	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.0000	0.7125	0.7350
lie-de-vin	lie-de-vin	lie-de-vin	idiom	idiom	locution nominale	strong idiom	False	ls:fr:node:45980	6	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.0000	0.7125	0.7350
monnaie-du-pape	monnaie-du-pape	monnaie-du-pape	idiom	idiom	locution nominale	strong idiom	True	ls:fr:node:56206	6	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.0000	0.7125	0.7350
plain-pied	plain-pied	plain-pied	idiom	idiom	locution nominale	strong idiom	True	ls:fr:node:50380	8	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.0000	0.7125	0.7350
saint-esprit	saint-esprit	saint-esprit	idiom	idiom	locution nominale	strong idiom	True	ls:fr:node:49123	2	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.0000	0.7125	0.7350
saint-père	saint-père	saint-père	idiom	idiom	locution nominale	strong idiom	False	ls:fr:node:37592	2	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.0000	0.7125	0.7350
saint-siège	saint-siège	saint-siège	idiom	idiom	locution nominale	strong idiom	False	ls:fr:node:48862	6	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.0000	0.7125	0.7350
sang-de-bœuf	sang-de-bœuf	sang-de-bœuf	idiom	idiom	locution nominale	strong idiom	False	ls:fr:node:46024	3	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.0000	0.7125	0.7350
vas-y !	vas-y !	vas-y !	idiom	idiom	locution phrastique	strong idiom	True	ls:fr:node:34585	2	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.9500	0.2000	0.3000	0.5500	0.9000	0.9000	0.7500	0.0000	0.7125	0.7350
au courant	au courant	au courant	idiom	prepositional_phrase	locution prépositionnelle	strong idiom	True	ls:fr:node:54042	4	exact	0.4665	0.9366	0.8568	0.8568	0.6899	0.9500	0.2000	0.3000	0.2500	0.9000	0.9000	0.2500	0.2000	0.5266	0.7530
pot-de-vin	pot-de-vin	pot-de-vin	idiom	idiom	locution nominale	strong idiom	False	ls:fr:node:41825	3	none	0.7500	0.0000	0.7500	0.7500	0.7500	0.8500	0.2000	0.9000	0.5500	0.9000	0.9000	0.7500	0.0000	0.7125	0.7560
au chaud	au chaud	au chaud	idiom	prepositional_phrase	locution prépositionnelle	strong idiom	True	ls:fr:node:54636|ls:fr:node:54637	8	exact	0.7872	1.0222	0.8474	0.8474	0.7915	0.9500	0.2000	0.3000	0.2500	0.9000	0.9000	0.2500	0.2000	0.7030	0.7742
amortissement linéaire	amortissements linéaires	amortissement linéaire|amortissements linéaires	dela|idiom	idiom|nominal_phrase	locution nominale|noun	semi-idiom	False	ls:fr:node:51814	3	tokens	0.9449	0.0632	0.9854	0.9854	0.9136	0.6000	0.2000	0.3000	0.5500	0.6000	0.6000	0.7500	0.2000	0.7647	0.8233
a posteriori	a posteriori	a posteriori	dela	fixed_expression	adverb				1	exact	0.9288	0.3937	0.9281	0.9281	0.9288	0.8500	0.2000	0.7000	0.3500	0.0000	0.0000	0.4500	0.2000	0.5759	0.8408
