entry	type	strength	pos	r1	max_token_score	source_id	source_rows
arrêt maladie	idiom	weak idiom	locution nominale	True	0.71676	ls:fr:node:48985	2
arrêter les frais	verbal_phrase	strong idiom	locution verbale	True	0.933273	ls:fr:node:52855	6
art de la table	idiom	semi-idiom	locution nominale	True	0.999362	ls:fr:node:43366	8
art martial	idiom	strong idiom	locution nominale	True	0.971923	ls:fr:node:39816	2
articulation crico-aryténoïdienne	idiom	weak idiom	locution nominale	False	0.000526687	ls:fr:node:54947	6
articulation temporo-mandibulaire	idiom	weak idiom	locution nominale	False	0.263264	ls:fr:node:54934	3
ascenseur social	idiom	semi-idiom	locution nominale	True	0.946734	ls:fr:node:48924	4
assiette anglaise	idiom	semi-idiom	locution nominale	True	0.65317	ls:fr:node:42624	10
assiette du terroir	idiom	semi-idiom	locution nominale	True	0.924052	ls:fr:node:42625	3
association d’idées	idiom	strong idiom	locution nominale	True	0.83294	ls:fr:node:47733	3
assurance maladie	idiom	weak idiom	locution nominale	True	0.782387	ls:fr:node:49145	2
astre du jour	idiom	weak idiom	locution nominale	True	0.997315	ls:fr:node:55065	6
atomes crochus	idiom	semi-idiom	locution nominale	True	0.995373	ls:fr:node:53988	2
atomes crochus	idiom	strong idiom	locution nominale	True	0.998787	ls:fr:node:53987	10
attendre un bébé	verbal_phrase	weak idiom	locution verbale	True	0.93674	ls:fr:node:52791	3
au banc des accusés	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.999175	ls:fr:node:47832	4
au banc des accusés	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.99999	ls:fr:node:47833	12
au banc d’essai	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.923953	ls:fr:node:48375	4
au bec	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.997822	ls:fr:node:40168	2
au bord	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999371	ls:fr:node:45027	2
au bord	prepositional_phrase	weak idiom	locution prépositionnelle	True	0.997856	ls:fr:node:40694	4
au bord des lèvres	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.997597	ls:fr:node:40272	8
au carré	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.691598	ls:fr:node:40251	4
au chaud	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.999005	ls:fr:node:54636	4
au chaud	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.959869	ls:fr:node:54637	4
au contraire	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998983	ls:fr:node:47339	2
au courant	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999018	ls:fr:node:54042	4
au cours	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.997258	ls:fr:node:33475	2
au creux	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.997655	ls:fr:node:44356	2
au doigt et à l’œil	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999293	ls:fr:node:52313	12
au fait	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.845294	ls:fr:node:48302	2
au fond	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.998715	ls:fr:node:41543	2
au fond	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999688	ls:fr:node:40693	4
au gré	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.99745	ls:fr:node:49658	2
au gré	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.997601	ls:fr:node:54442	2
au gré du vent	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998523	ls:fr:node:45171	4
au lit	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.995996	ls:fr:node:42871	10
au milieu de nulle part	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999867	ls:fr:node:47766	10
au mois	prepositional_phrase	weak idiom	locution prépositionnelle	False	0.0170386	ls:fr:node:53795	2
au moyen	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998172	ls:fr:node:31799	2
au nom	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.994913	ls:fr:node:46436	2
au nom	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.990912	ls:fr:node:49125	2
au nombre	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.999445	ls:fr:node:38672	4
au pas	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.914446	ls:fr:node:39561	12
au pas de course	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999544	ls:fr:node:45532	8
au petit bonheur	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.997995	ls:fr:node:53551	12
au petit bonheur la chance	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998825	ls:fr:node:53552	20
au placard	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999072	ls:fr:node:41766	10
au plus vite	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.999862	ls:fr:node:52839	3
au premier plan	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.99467	ls:fr:node:50433	9
au propre	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.99493	ls:fr:node:38690	2
au ralenti	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.988183	ls:fr:node:39689	2
au ralenti	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.965674	ls:fr:node:39690	2
au ras des pâquerettes	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.9991	ls:fr:node:53667	8
au rouge	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.665557	ls:fr:node:43923	2
au second plan	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.991388	ls:fr:node:30610	3
au sein	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998722	ls:fr:node:44657	2
au sujet	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.992798	ls:fr:node:32392	2
au tapis	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.394729	ls:fr:node:49664	2
au tapis	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.994154	ls:fr:node:45416	4
Au temps pour moi.	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.892601	ls:fr:node:55216	4
au torchon	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.256031	ls:fr:node:42342	2
au volant	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.999536	ls:fr:node:41063	10
aujourd’hui	fixed_expression	free lexeme	adverbe	True	0.815341	ls:fr:node:26395	2
Autant en emporte le vent.	idiom	strong idiom	locution phrastique	True	0.998613	ls:fr:node:45174	5
autoroute de l’information	idiom	semi-idiom	locution nominale	True	0.996464	ls:fr:node:38673	12
aux anges	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.998195	ls:fr:node:51586	4
aux cent coups	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.525313	ls:fr:node:41091	6
aux corneilles	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.0264108	ls:fr:node:55849	2
aux côtés	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.990404	ls:fr:node:48617	2
aux dents	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.938839	ls:fr:node:40203	2
aux fesses	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.86467	ls:fr:node:41214	6
aux lèvres	prepositional_phrase	semi-idiom	locution prépositionnelle	True	0.997227	ls:fr:node:40166	4
aux petits soins	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999292	ls:fr:node:54305	3
aux pièces	prepositional_phrase	semi-idiom	locution prépositionnelle	False	0.0365455	ls:fr:node:48132	6
aux pièces	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.00965544	ls:fr:node:46963	2
aux quatre vents	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.920066	ls:fr:node:46500	3
aux torts exclusifs	prepositional_phrase	weak idiom	locution prépositionnelle	True	0.228063	ls:fr:node:39029	3
aux torts partagés	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.788021	ls:fr:node:39030	3
avaler son chapeau	verbal_phrase	strong idiom	locution verbale	True	0.883575	ls:fr:node:46915	3
avance consolidable	idiom	weak idiom	locution nominale	False	0.150757	ls:fr:node:51928	2
avant tout	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.999485	ls:fr:node:38906	2
avec armes et bagages	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.986382	ls:fr:node:53018	4
avec cela	prepositional_phrase	strong idiom	locution prépositionnelle	False	0.0123724	ls:fr:node:40695	2
avec excès	prepositional_phrase	weak idiom	locution prépositionnelle	False	0.182698	ls:fr:node:44912	2
avec un lance-pierre	prepositional_phrase	strong idiom	locution prépositionnelle	True	0.276594	ls:fr:node:44852	4
avertisseur sonore	idiom	weak idiom	locution nominale	False	0.0393927	ls:fr:node:33582	2
avis de tempête	idiom	strong idiom	locution nominale	True	0.875938	ls:fr:node:44720	3
avocat général	idiom	semi-idiom	locution nominale	False	0.0176661	ls:fr:node:41770	2
avoir affaire	verbal_phrase	strong idiom	locution verbale	True	0.974716	ls:fr:node:45303	2
avoir besoin	verbal_phrase	weak idiom	locution verbale	True	0.985576	ls:fr:node:43994	2
avoir chaud	verbal_phrase	semi-idiom	locution verbale	True	0.986104	ls:fr:node:43993	8
avoir chaud	verbal_phrase	strong idiom	locution verbale	True	0.773907	ls:fr:node:50411	3
avoir chaud aux fesses	verbal_phrase	strong idiom	locution verbale	True	0.986228	ls:fr:node:41216	4
avoir de la bouteille	verbal_phrase	strong idiom	locution verbale	True	0.999662	ls:fr:node:48511	12
avoir des nouvelles	verbal_phrase	strong idiom	locution verbale	True	0.998798	ls:fr:node:52866	6
avoir droit	verbal_phrase	semi-idiom	locution verbale	True	0.517448	ls:fr:node:43987	2
avoir du chien	verbal_phrase	strong idiom	locution verbale	True	0.493258	ls:fr:node:41905	3
avoir du vent dans les voiles	verbal_phrase	strong idiom	locution verbale	True	0.985865	ls:fr:node:46590	6
avoir d’autres chats à fouetter	verbal_phrase	strong idiom	locution verbale	True	0.998119	ls:fr:node:43431	6
avoir faim	verbal_phrase	weak idiom	locution verbale	True	0.992429	ls:fr:node:46259	2
avoir froid	verbal_phrase	semi-idiom	locution verbale	True	0.983612	ls:fr:node:43992	8
avoir gardé les cochons ensemble	verbal_phrase	strong idiom	locution verbale	True	0.975189	ls:fr:node:45377	6
avoir la dent	verbal_phrase	strong idiom	locution verbale	False	0.419014	ls:fr:node:44018	3
avoir la peau	verbal_phrase	strong idiom	locution verbale	True	0.998945	ls:fr:node:45304	6
avoir la puce à l’oreille	verbal_phrase	strong idiom	locution verbale	True	0.997179	ls:fr:node:40516	6
avoir le vent dans le dos	verbal_phrase	strong idiom	locution verbale	True	0.999721	ls:fr:node:46591	6
avoir le vent dans les voiles	verbal_phrase	strong idiom	locution verbale	True	0.987939	ls:fr:node:46588	12
avoir le vent en poupe	verbal_phrase	strong idiom	locution verbale	True	0.99995	ls:fr:node:46592	5
avoir les abeilles	verbal_phrase	strong idiom	locution verbale	True	0.444211	ls:fr:node:40822	3
avoir les chevilles qui enflent	verbal_phrase	strong idiom	locution verbale	True	0.999735	ls:fr:node:52902	6
avoir les deux pieds dans le même sabot	verbal_phrase	strong idiom	locution verbale	True	0.983825	ls:fr:node:52718	8
avoir les fesses qui démangent	verbal_phrase	strong idiom	locution verbale	True	0.999399	ls:fr:node:41219	11
avoir les jambes	verbal_phrase	strong idiom	locution verbale	True	0.988629	ls:fr:node:41393	4
avoir les yeux en face des trous	verbal_phrase	strong idiom	locution verbale	True	0.967013	ls:fr:node:52621	7
avoir lieu	verbal_phrase	strong idiom	locution verbale	True	0.962891	ls:fr:node:39429	3
avoir l’air	verbal_phrase	weak idiom	locution verbale	True	0.971199	ls:fr:node:53978	6
avoir l’air d’un crapaud sur une boîte d’allumettes	verbal_phrase	strong idiom	locution verbale	True	0.85626	ls:fr:node:41371	33
avoir l’oreille	verbal_phrase	strong idiom	locution verbale	True	0.885303	ls:fr:node:39301	3
avoir maille à partir	verbal_phrase	strong idiom	locution verbale	True	0.998388	ls:fr:node:54736	5
avoir pied	verbal_phrase	strong idiom	locution verbale	False	0.260501	ls:fr:node:41651	2
avoir quelque chose dans le ciboulot	verbal_phrase	strong idiom	locution verbale	True	0.995173	ls:fr:node:47854	4
avoir quelque chose dans le cigare	verbal_phrase	strong idiom	locution verbale	True	0.332454	ls:fr:node:47855	4
avoir ses limites	verbal_phrase	semi-idiom	locution verbale	True	0.919236	ls:fr:node:52907	3
avoir tort	verbal_phrase	strong idiom	locution verbale	False	0.00230557	ls:fr:node:45315	2
avoir un pied dans la tombe	verbal_phrase	strong idiom	locution verbale	True	0.956866	ls:fr:node:49045	6
avoir un ticket	verbal_phrase	strong idiom	locution verbale	True	0.708576	ls:fr:node:52622	6
avoir un trou dans la tête	verbal_phrase	strong idiom	locution verbale	True	0.948225	ls:fr:node:47853	6
avoir un trou dans le cigare	verbal_phrase	strong idiom	locution verbale	True	0.964809	ls:fr:node:47852	6
avoir une araignée au plafond	verbal_phrase	strong idiom	locution verbale	True	0.994754	ls:fr:node:52771	5
avoir une famille à nourrir	verbal_phrase	weak idiom	locution verbale	True	0.998236	ls:fr:node:39484	5
avoir vent	verbal_phrase	strong idiom	locution verbale	True	0.968317	ls:fr:node:46610	2
baguette magique	idiom	strong idiom	locution nominale	True	0.99888	ls:fr:node:48610	2
baisser les bras	verbal_phrase	strong idiom	locution verbale	True	0.996554	ls:fr:node:54322	7
baisser son pantalon	verbal_phrase	strong idiom	locution verbale	True	0.967403	ls:fr:node:39618	3
balai dans le cul	idiom	strong idiom	locution nominale	True	0.983868	ls:fr:node:43100	16
balai à chiottes	idiom	semi-idiom	locution nominale	True	0.981832	ls:fr:node:43109	7
balayer devant sa porte	verbal_phrase	strong idiom	locution verbale	True	0.99584	ls:fr:node:43947	8
ballon rond	idiom	weak idiom	locution nominale	True	0.999426	ls:fr:node:33406	2
banc de jardin	idiom	weak idiom	locution nominale	True	0.936196	ls:fr:node:47622	3
banc de mesure	idiom	semi-idiom	locution nominale	True	0.99822	ls:fr:node:48376	3
banc de montage	idiom	weak idiom	locution nominale	True	0.995403	ls:fr:node:48091	6
banc de musculation	idiom	semi-idiom	locution nominale	True	0.983899	ls:fr:node:47712	3
banc de nage	idiom	semi-idiom	locution nominale	True	0.99836	ls:fr:node:47799	6
banc de test	idiom	semi-idiom	locution nominale	True	0.986362	ls:fr:node:48100	3
banc de touche	idiom	semi-idiom	locution nominale	True	0.998597	ls:fr:node:47829	3
banc des punitions	idiom	weak idiom	locution nominale	True	0.598473	ls:fr:node:47836	3
banc des pénalités	idiom	weak idiom	locution nominale	True	0.828126	ls:fr:node:47834	6
banc d’essai	idiom	semi-idiom	locution nominale	False	0.0335701	ls:fr:node:48096	3
banc d’œuvre	idiom	semi-idiom	locution nominale	False	0.00799766	ls:fr:node:47887	9
banc public	idiom	weak idiom	locution nominale	True	0.785837	ls:fr:node:47617	2
bande de circulation	idiom	semi-idiom	locution nominale	True	0.99925	ls:fr:node:39967	7
bande d’arrêt d’urgence	idiom	semi-idiom	locution nominale	True	0.995325	ls:fr:node:38942	52
bande magnétique	idiom	strong idiom	locution nominale	False	0.101173	ls:fr:node:45480	2
bandit manchot	idiom	strong idiom	locution nominale	False	3.41495e-08	ls:fr:node:48483	2
baraque à frites	idiom	weak idiom	locution nominale	True	0.975766	ls:fr:node:53954	3
barre de fesses	idiom	semi-idiom	locution nominale	True	0.781508	ls:fr:node:41220	3
barre franche	idiom	strong idiom	locution nominale	False	0.0937522	ls:fr:node:47649	2
barreau de chaise	idiom	strong idiom	locution nominale	True	0.888541	ls:fr:node:32860	3
barrer la route	verbal_phrase	strong idiom	locution verbale	True	0.997415	ls:fr:node:40615	7
bas sur pattes	fixed_expression	semi-idiom	locution adjectivale	True	0.928029	ls:fr:node:42698	3
base navale	idiom	weak idiom	locution nominale	True	0.964814	ls:fr:node:43636	2
basse besogne	idiom	weak idiom	locution nominale	False	0.0391699	ls:fr:node:54306	2
basse cour	idiom	strong idiom	locution nominale	False	0.0564408	ls:fr:node:53207	2
batterie de cuisine	idiom	weak idiom	locution nominale	True	0.981951	ls:fr:node:50848	6
battre de l’aile	verbal_phrase	strong idiom	locution verbale	True	0.999855	ls:fr:node:46122	4
battre son plein	verbal_phrase	semi-idiom	locution verbale	True	0.96488	ls:fr:node:49627	3
battre son plein	verbal_phrase	strong idiom	locution verbale	True	0.998984	ls:fr:node:44958	6
bayer aux corneilles	verbal_phrase	strong idiom	locution verbale	False	0.111439	ls:fr:node:55850	3
beau monde	idiom	strong idiom	locution nominale	True	0.681273	ls:fr:node:46815	4
beaux restes	idiom	strong idiom	locution nominale	True	0.77434	ls:fr:node:53962	12
bec et ongles	idiom	strong idiom	locution nominale	True	0.999495	ls:fr:node:53963	9
bel et bien	fixed_expression	strong idiom	locution adverbiale	True	0.999928	ls:fr:node:43953	3
bel homme	idiom	weak idiom	locution nominale	True	0.625994	ls:fr:node:53959	4
belle-de-jour	idiom	semi-idiom	locution nominale	False	0.00316689	ls:fr:node:56058	6
belle-de-nuit	idiom	semi-idiom	locution nominale	False	0.00375864	ls:fr:node:56061	3
belle-d’un-jour	idiom	semi-idiom	locution nominale	False	0.00248903	ls:fr:node:56182	4
bien dans ses baskets	fixed_expression	strong idiom	locution adjectivale	True	0.99977	ls:fr:node:40850	4
bien entendu	fixed_expression	strong idiom	locution adjectivale	True	0.999261	ls:fr:node:43884	2
bien fait	fixed_expression	strong idiom	locution adjectivale	True	0.969595	ls:fr:node:42884	8
bien sûr	fixed_expression	strong idiom	locution adjectivale	True	0.977292	ls:fr:node:26496	2
bijoux de famille	idiom	strong idiom	locution nominale	True	0.969895	ls:fr:node:39474	3
bilan de renouvellement	idiom	weak idiom	locution nominale	True	0.91621	ls:fr:node:54785	3
bilan d’investigation	idiom	weak idiom	locution nominale	True	0.817841	ls:fr:node:54796	3
bilan initial	idiom	weak idiom	locution nominale	False	0.0471928	ls:fr:node:54786	4
biscuit cuillère	idiom	semi-idiom	locution nominale	True	0.999642	ls:fr:node:53015	10
blague à part	idiom	strong idiom	locution nominale	True	0.996316	ls:fr:node:50806	3
blanc bonnet et bonnet blanc	idiom	strong idiom	locution nominale	True	0.990368	ls:fr:node:39157	5
boire du petit-lait	verbal_phrase	strong idiom	locution verbale	True	0.863964	ls:fr:node:46741	8
bois de lit	idiom	weak idiom	locution nominale	False	0.0263405	ls:fr:node:43059	3
boisson alcoolisée	idiom	weak idiom	locution nominale	True	0.997553	ls:fr:node:56116	4
boisson chaude	idiom	weak idiom	locution nominale	True	0.850995	ls:fr:node:56115	12
bol alimentaire	idiom	semi-idiom	locution nominale	True	0.519379	ls:fr:node:42660	2
bol d’air	idiom	semi-idiom	locution nominale	True	0.984726	ls:fr:node:43710	6
bol fécal	idiom	semi-idiom	locution nominale	False	0.00656591	ls:fr:node:42663	2
bombe sexuelle	idiom	strong idiom	locution nominale	True	0.34762	ls:fr:node:47144	2
Bon appétit	idiom	semi-idiom	locution nominale	True	0.933029	ls:fr:node:26524	2
bon de garantie	idiom	weak idiom	locution nominale	True	0.647104	ls:fr:node:51190	3
bon Dieu	idiom	semi-idiom	locution nominale	True	0.763963	ls:fr:node:53597	2
bon sens	idiom	strong idiom	locution nominale	True	0.994173	ls:fr:node:30572	4
bon train	idiom	strong idiom	locution nominale	True	0.999771	ls:fr:node:42937	6
Bon vent !	idiom	strong idiom	locution nominale	True	0.470079	ls:fr:node:46611	4
bon à jeter aux chiens	fixed_expression	strong idiom	locution adjectivale	True	0.954531	ls:fr:node:41907	10
bon à rien	fixed_expression	weak idiom	locution adjectivale	True	0.908668	ls:fr:node:47186	3
bonhomme de neige	idiom	weak idiom	locution nominale	True	0.993812	ls:fr:node:54621	3
bonne fée	idiom	strong idiom	locution nominale	False	0.102555	ls:fr:node:53302	2
bonne humeur	idiom	weak idiom	locution nominale	True	0.998833	ls:fr:node:30573	2
Bonne route !	idiom	strong idiom	locution nominale	True	0.823434	ls:fr:node:40708	4
bonnet de nuit	idiom	weak idiom	locution nominale	True	0.98554	ls:fr:node:47872	3
